cust_num,cust_name,cust_company,cust_street,cust_city,cust_state,cust_zip,cust_phone,cust_email
1000,Trevor J Dickey,DMACC,2006 S Ankeny Blvd,Ankeny,IA,50023,5159646200,tjdickey@dmacc.edu
1001,Coriander Whelan,MindTutor,3 Greenrose St.,Edison,NJ,8817,7327770566,cwhelan@mindtutor.com
1002,Ophalie Hannigan,HireMe,7905 Newcastle Ave.,North Tonawanda,NY,14120,7162137816,ohannigan@hireme.com
1003,Ton Royce,AppAcademy,31 West Union Drive,Torrance,CA,90505,3102125718,troyce@appacademy.com
1004,Kelsie Jallenbeck,Sparktum,2137 Brook St.,Highland,IN,46322,2192377901,kjallenbeck@sparktum.com
1005,Silvestro Nasato,Digi,37 Spring Avenue,Urbandale,IA,50322,5157475185,snasato@digi.com
1006,Fenella Leonardsen,Alacri,9400 Westport Street,Aiken,SC,29803,8032227658,fleonardsen@alacri.com
1007,Gust Cavallo,Edx,9858 N. Gonzales Road,Lawrenceville,GA,30043,7702774714,gcavallo@edx.com
1008,Corynn Mondo,Elearly,936 Ryan St.,Lansdale,PA,19446,2158530469,cmondo@elearly.com
1009,Mikkel Alberghi,Alignly,149 West Central St.,Charlotte,NC,28205,7042800182,malberghi@alignly.com
1010,Raghnall Dirks,Upgarden,4 Beacon Drive,Brownsburg,IN,46112,3173507156,rdirks@upgarden.com
1011,Lucien Woodham,AlignedLearning,5 Railroad Rd.,Camden,NJ,8105,8563302219,lwoodham@alignedlearning.com
1012,Giulio Stone,Ora,459 Green Hill St.,Vernon Hills,IL,60061,2172000321,gstone@ora.com
1013,Donnchadh Stein,PuneTech,9555 SW. Queen St.,Ashland,OH,44805,5672039710,dstein@punetech.com
1014,Errol Knopf,Linguica,7800 Gainsway Street,Fairfax,VA,22030,7034263623,eknopf@linguica.com
1015,Emmeline Jeanes,Gibbly,555 Bay Drive,Newark,NJ,7103,2012035686,ejeanes@gibbly.com
1016,Daniela Courtenay,SparkLabs,87 Lancaster Dr.,Toms River,NJ,8753,7322284631,dcourtenay@sparklabs.com
1017,Halvdan Boivin,Pramat,256 Augusta Ave.,Lansdale,PA,19443,2153939438,hboivin@pramat.com
1018,Erhard Post,SkillCode,956 San Juan Street,Upland,CA,91784,9092433755,epost@skillcode.com
1019,Kipling Desjardins,Mindset,7874 Applegate St.,Pensacola,FL,32503,8502026870,kdesjardins@mindset.com
1020,Andrea Caulfield,Upgradable,748 Clinton Dr.,Wellington,FL,33414,3529497519,acaulfield@upgradable.com
